Step,AgentID,Vote
5,350,yes
5,497,yes
5,366,yes
5,482,yes
5,202,yes
5,409,yes
5,82,yes
5,144,yes
5,407,yes
5,60,yes
5,297,yes
5,21,yes
5,457,yes
5,358,yes
5,454,yes
5,73,yes
5,353,yes
5,240,yes
5,264,yes
5,483,yes
5,319,yes
5,35,yes
5,158,yes
5,439,yes
5,211,yes
5,147,yes
5,100,yes
5,169,yes
5,157,yes
5,487,yes
5,149,yes
5,97,yes
5,323,yes
6,315,yes
6,297,yes
6,358,yes
6,165,yes
6,436,yes
6,240,yes
6,319,yes
6,300,yes
6,222,yes
6,265,yes
6,483,yes
6,111,yes
6,25,yes
6,211,yes
6,60,yes
6,259,yes
6,445,yes
6,28,yes
6,417,yes
6,223,yes
6,149,yes
6,454,yes
6,72,yes
6,290,yes
6,144,yes
6,458,yes
6,21,yes
6,73,yes
6,70,yes
6,173,yes
6,235,yes
6,439,yes
6,84,yes
6,248,yes
6,180,yes
6,473,yes
6,157,yes
6,178,yes
6,122,yes
6,384,yes
6,383,yes
6,440,yes
6,257,yes
6,366,yes
6,310,yes
6,35,yes
6,9,yes
6,Candidate_0,
6,465,yes
6,374,yes
6,139,yes
6,323,yes
6,457,yes
6,375,yes
6,34,yes
6,433,yes
6,407,yes
6,100,yes
6,65,yes
6,207,yes
6,242,yes
6,Candidate_1,
6,86,yes
6,350,yes
6,474,yes
6,169,yes
6,316,yes
6,409,yes
6,231,yes
6,378,yes
6,341,yes
6,482,yes
6,101,yes
6,158,yes
6,170,yes
6,182,yes
6,497,yes
6,467,yes
6,427,yes
6,264,yes
6,82,yes
6,91,yes
6,492,yes
6,311,yes
6,464,yes
6,220,yes
6,17,yes
6,132,yes
6,177,yes
6,119,yes
6,382,yes
6,466,yes
6,81,yes
6,62,yes
6,429,yes
6,487,yes
6,343,yes
6,272,yes
6,97,yes
6,274,yes
6,184,yes
6,498,yes
6,490,yes
6,353,yes
6,345,yes
6,45,yes
6,131,yes
6,147,yes
6,202,yes
6,140,yes
6,321,yes
6,30,yes
7,157,yes
7,319,yes
7,366,yes
7,272,yes
7,457,yes
7,242,yes
7,165,yes
7,474,yes
7,464,yes
7,417,yes
7,25,yes
7,173,yes
7,60,yes
7,177,yes
7,483,yes
7,498,yes
7,436,yes
7,497,yes
7,375,yes
7,384,yes
7,409,yes
7,490,yes
7,182,yes
7,315,yes
7,81,yes
7,458,yes
7,440,yes
7,140,yes
7,207,yes
7,343,yes
7,178,yes
7,259,yes
7,350,yes
7,Candidate_0,
7,91,yes
7,240,yes
7,35,yes
7,445,yes
7,72,yes
7,100,yes
7,433,yes
7,30,yes
7,482,yes
7,220,yes
7,465,yes
7,Candidate_1,
7,144,yes
7,28,yes
7,407,yes
7,223,yes
7,211,yes
7,73,yes
7,84,yes
7,158,yes
7,131,yes
7,473,yes
7,119,yes
7,345,yes
7,86,yes
7,122,yes
7,321,yes
7,300,yes
7,274,yes
7,467,yes
7,383,yes
7,492,yes
7,65,yes
7,202,yes
7,358,yes
7,139,yes
7,257,yes
7,180,yes
7,82,yes
7,97,yes
7,310,yes
7,235,yes
7,147,yes
7,311,yes
7,427,yes
7,382,yes
7,222,yes
7,487,yes
7,429,yes
7,265,yes
7,378,yes
7,170,yes
7,353,yes
7,323,yes
7,9,yes
7,297,yes
7,70,yes
7,184,yes
7,231,yes
7,454,yes
7,290,yes
7,34,yes
7,316,yes
7,17,yes
7,101,yes
7,45,yes
7,111,yes
7,21,yes
7,169,yes
7,132,yes
7,62,yes
7,439,yes
7,264,yes
7,149,yes
7,374,yes
7,248,yes
7,466,yes
7,341,yes
8,173,yes
8,483,yes
8,180,yes
8,235,yes
8,202,yes
8,73,yes
8,149,yes
8,350,yes
8,458,yes
8,Candidate_0,
8,70,yes
8,315,yes
8,375,yes
8,259,yes
8,21,yes
8,184,yes
8,492,yes
8,433,yes
8,345,yes
8,311,yes
8,177,yes
8,464,yes
8,60,yes
8,290,yes
8,445,yes
8,182,yes
8,321,yes
8,272,yes
8,165,yes
8,84,yes
8,482,yes
8,300,yes
8,158,yes
8,378,yes
8,211,yes
8,383,yes
8,231,yes
8,122,yes
8,220,yes
8,139,yes
8,140,yes
8,358,yes
8,427,yes
8,343,yes
8,30,yes
8,65,yes
8,409,yes
8,310,yes
8,131,yes
8,316,yes
8,407,yes
8,487,yes
8,100,yes
8,144,yes
8,178,yes
8,366,yes
8,28,yes
8,498,yes
8,384,yes
8,91,yes
8,323,yes
8,147,yes
8,207,yes
8,466,yes
8,Candidate_1,
8,353,yes
8,81,yes
8,454,yes
8,257,yes
8,97,yes
8,319,yes
8,429,yes
8,265,yes
8,157,yes
8,82,yes
8,72,yes
8,248,yes
8,9,yes
8,17,yes
8,242,yes
8,119,yes
8,101,yes
8,264,yes
8,417,yes
8,474,yes
8,169,yes
8,35,yes
8,440,yes
8,45,yes
8,132,yes
8,341,yes
8,222,yes
8,467,yes
8,111,yes
8,25,yes
8,274,yes
8,34,yes
8,297,yes
8,490,yes
8,457,yes
8,382,yes
8,223,yes
8,465,yes
8,170,yes
8,86,yes
8,436,yes
8,62,yes
8,240,yes
8,497,yes
8,439,yes
8,473,yes
8,374,yes
9,473,yes
9,165,yes
9,202,yes
9,182,yes
9,487,yes
9,353,yes
9,60,yes
9,467,yes
9,Candidate_0,
9,28,yes
9,300,yes
9,86,yes
9,173,yes
9,417,yes
9,474,yes
9,436,yes
9,407,yes
9,91,yes
9,72,yes
9,378,yes
9,439,yes
9,35,yes
9,316,yes
9,100,yes
9,157,yes
9,73,yes
9,81,yes
9,177,yes
9,9,yes
9,169,yes
9,223,yes
9,220,yes
9,34,yes
9,170,yes
9,358,yes
9,131,yes
9,231,yes
9,17,yes
9,466,yes
9,374,yes
9,483,yes
9,207,yes
9,366,yes
9,464,yes
9,341,yes
9,384,yes
9,311,yes
9,240,yes
9,82,yes
9,248,yes
9,274,yes
9,264,yes
9,272,yes
9,482,yes
9,147,yes
9,132,yes
9,97,yes
9,497,yes
9,375,yes
9,427,yes
9,65,yes
9,319,yes
9,321,yes
9,211,yes
9,343,yes
9,242,yes
9,445,yes
9,465,yes
9,297,yes
9,259,yes
9,310,yes
9,235,yes
9,70,yes
9,290,yes
9,490,yes
9,458,yes
9,440,yes
9,498,yes
9,345,yes
9,454,yes
9,122,yes
9,21,yes
9,429,yes
9,433,yes
9,265,yes
9,457,yes
9,178,yes
9,101,yes
9,180,yes
9,30,yes
9,62,yes
9,257,yes
9,383,yes
9,315,yes
9,119,yes
9,492,yes
9,222,yes
9,25,yes
9,Candidate_1,
9,149,yes
9,382,yes
9,350,yes
9,144,yes
9,158,yes
9,84,yes
9,323,yes
9,409,yes
9,140,yes
9,111,yes
9,184,yes
9,139,yes
9,45,yes
