"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","information-level","trust","credibility","opinions","government-intervention","government-control-of-economy","free-trade","protectionism","pro-choice","tax-increase-to-offset-debt-and-deficit","crime-punishment-level","military-hawkishness","non-military-interventions","affirmative-action","prayer-in-schools","market-solution-to-healthcare","moralistic-law"
"60","100","311","-19.4425779228932","21.759740240115036","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","100","254","-0.2514261237931805","-3.6863609817427943","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","100","89","-12.064453847474127","-43.718672853844225","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","100","110","48.4706144427703","-26.3693016095417","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","100","279","29.024966051483887","22.780055946967124","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","100","207","-12.531050604744685","61.83103219993346","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","100","161","2.9674428651441787","-23.298089108482642","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","100","36","-33.19823589765927","26.984008965180095","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","100","59","-5.142155781408775","-45.909806604337504","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","100","27","13.602560578428793","9.186107851219361","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","100","62","-61.69453154761055","-1.6041703092573982","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","100","178","27.43511083590495","8.658877162782076","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","100","294","46.803322326570026","17.425896923245375","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","100","283","5.249643467495346","25.680327397378136","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","100","355","28.506470747981453","-52.95951954308141","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","100","149","-26.079710508069745","-51.06295437779461","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","100","38","31.5045531943516","11.655679575642097","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","100","231","-37.396338537992534","-18.069382908632733","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
