"pxcor","pycor","pcolor","plabel","plabel-color"
"-23","63","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-22","63","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-21","63","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-20","63","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-19","63","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-18","63","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-17","63","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-16","63","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-15","63","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"-14","63","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-13","63","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-12","63","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-11","63","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-10","63","[44.63573259700212 168.3794193046479 44.63573259700212]","""""","9.9"
"-9","63","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"-8","63","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-7","63","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-6","63","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-5","63","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"-4","63","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"-3","63","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-2","63","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-1","63","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"0","63","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"1","63","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"2","63","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"3","63","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"4","63","[63.75 176.25 63.75]","""""","9.9"
"5","63","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"6","63","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"7","63","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"8","63","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"9","63","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"10","63","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"11","63","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"12","63","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"13","63","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"14","63","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"15","63","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"16","63","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"17","63","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"18","63","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"19","63","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"20","63","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"21","63","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"22","63","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"23","63","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"24","63","[42.5 167.5 42.5]","""""","9.9"
"25","63","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"26","63","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"27","63","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"28","63","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"29","63","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"30","63","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"31","63","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"32","63","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"33","63","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"34","63","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"35","63","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"36","63","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"37","63","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"38","63","[148.75 211.25 148.75]","""""","9.9"
"39","63","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"40","63","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"41","63","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"42","63","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"43","63","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"44","63","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"45","63","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"46","63","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"47","63","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"48","63","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"49","63","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"50","63","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"51","63","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"52","63","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"53","63","[170 220 170]","""""","9.9"
"54","63","[191.25 228.75 191.25]","""""","9.9"
"55","63","[212.5 237.5 212.5]","""""","9.9"
"56","63","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"57","63","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"58","63","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"59","63","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"60","63","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"61","63","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"62","63","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"63","63","[63.75 176.25 63.75]","""""","9.9"
"64","63","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"-64","62","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
